"","var","p_val","v_stat","test","n_group","group"
"2","Alow",0.018,8.08571428571429,"0-2-90",70,"all"
"3","OsPA_A_O1",0,16.1459854014599,"0-2-90",70,"all"
"4","OsPA_A_O2",0,40.4565217391304,"0-2-90",70,"all"
"5","OsPA_A_O3",0,26.8880866425993,"0-2-90",70,"all"
"6","OsPA_A_O4",0,22.8953068592058,"0-2-90",70,"all"
"7","OsPA_A_n1",0,29.5755395683453,"0-2-90",70,"all"
"8","OsPA_A_n2",0.018,8.08571428571429,"0-2-90",70,"all"
"9","OsPA_A_n3",0,16.7463768115942,"0-2-90",70,"all"
"10","OsPA_A_n4",0,17.0108303249097,"0-2-90",70,"all"
